event_date,variable,Qahead,bcei_pub_date,target_qtr,forecast,realized,error
1988-02-04,cpi,0,1988-01-01,1988Q1,3.9,3.158114197810713,-0.7418858021892869
1988-02-04,cpi,1,1988-01-01,1988Q2,4.0,4.668029748448688,0.6680297484486877
1988-02-04,cpi,2,1988-01-01,1988Q3,4.3,4.966574789357625,0.6665747893576253
1988-02-04,cpi,3,1988-01-01,1988Q4,4.5,4.441875929858252,-0.05812407014174781
1988-02-04,cpi,4,1988-01-01,1989Q1,4.7,4.6222196185139675,-0.07778038148603272
1988-02-04,cpi,5,1988-01-01,1989Q2,4.7,6.624222048547779,1.9242220485477786
1988-02-04,gdp_price,0,1988-01-01,1988Q1,3.6,3.1273258569216145,-0.4726741430783856
1988-02-04,gdp_price,1,1988-01-01,1988Q2,3.7,4.051719280722343,0.35171928072234326
1988-02-04,gdp_price,2,1988-01-01,1988Q3,3.9,4.9944833312649095,1.0944833312649096
1988-02-04,gdp_price,3,1988-01-01,1988Q4,4.0,3.7386706127772618,-0.26132938722273824
1988-02-04,gdp_price,4,1988-01-01,1989Q1,4.2,3.9250963154181977,-0.2749036845818025
1988-02-04,gdp_price,5,1988-01-01,1989Q2,4.3,4.413653055154065,0.11365305515406554
1988-02-04,industrial_production,0,1988-01-01,1988Q1,1.3,3.7915034537730152,2.4915034537730154
1988-02-04,industrial_production,1,1988-01-01,1988Q2,1.8,3.5454275144150893,1.7454275144150893
1988-02-04,industrial_production,2,1988-01-01,1988Q3,2.3,1.4902244289339617,-0.8097755710660381
1988-02-04,industrial_production,3,1988-01-01,1988Q4,2.8,2.8400965562221714,0.040096556222171564
1988-02-04,industrial_production,4,1988-01-01,1989Q1,3.0,1.872051537694697,-1.127948462305303
1988-02-04,industrial_production,5,1988-01-01,1989Q2,3.2,-1.5034442233530454,-4.703444223353046
1988-02-04,real_gdp,0,1988-01-01,1988Q1,1.2,2.490682124492305,1.290682124492305
1988-02-04,real_gdp,1,1988-01-01,1988Q2,1.6,5.135245132428312,3.535245132428312
1988-02-04,real_gdp,2,1988-01-01,1988Q3,2.2,2.125209750302459,-0.074790249697541
1988-02-04,real_gdp,3,1988-01-01,1988Q4,2.4,5.587104405539067,3.1871044055390674
1988-02-04,real_gdp,4,1988-01-01,1989Q1,2.4,4.058268956464417,1.658268956464417
1988-02-04,real_gdp,5,1988-01-01,1989Q2,2.1,2.9904340112270944,0.8904340112270943
1988-02-04,unrate,0,1988-01-01,1988Q1,6.1,5.7,-0.39999999999999947
1988-02-04,unrate,1,1988-01-01,1988Q2,6.2,5.466666666666666,-0.7333333333333343
1988-02-04,unrate,2,1988-01-01,1988Q3,6.2,5.466666666666666,-0.7333333333333343
1988-02-04,unrate,3,1988-01-01,1988Q4,6.2,5.333333333333333,-0.8666666666666671
1988-02-04,unrate,4,1988-01-01,1989Q1,6.2,5.2,-1.0
1988-02-04,unrate,5,1988-01-01,1989Q2,6.2,5.233333333333333,-0.9666666666666668
1988-02-05,cpi,0,1988-01-01,1988Q1,3.9,3.158114197810713,-0.7418858021892869
1988-02-05,cpi,1,1988-01-01,1988Q2,4.0,4.668029748448688,0.6680297484486877
1988-02-05,cpi,2,1988-01-01,1988Q3,4.3,4.966574789357625,0.6665747893576253
1988-02-05,cpi,3,1988-01-01,1988Q4,4.5,4.441875929858252,-0.05812407014174781
1988-02-05,cpi,4,1988-01-01,1989Q1,4.7,4.6222196185139675,-0.07778038148603272
1988-02-05,cpi,5,1988-01-01,1989Q2,4.7,6.624222048547779,1.9242220485477786
1988-02-05,gdp_price,0,1988-01-01,1988Q1,3.6,3.1273258569216145,-0.4726741430783856
1988-02-05,gdp_price,1,1988-01-01,1988Q2,3.7,4.051719280722343,0.35171928072234326
